Date,Open,High,Low,Close,Volume,Adj Close,Date,ret
2006-01-03,125.19,127,124.39,126.7,73256700,107.97,2006-01-03,1
2006-01-04,126.86,127.49,126.7,127.3,51899600,108.48,2006-01-04,1.0047235343
2006-01-05,127.15,127.59,126.88,127.38,47307500,108.55,2006-01-05,1.0006452802
2006-01-06,128.02,128.58,127.36,128.44,62885900,109.45,2006-01-06,1.0082911101
2006-01-09,128.42,129.06,128.38,128.77,43527400,109.73,2006-01-09,1.0025582458
2006-01-10,128.39,128.98,128.26,128.9,44960800,109.84,2006-01-10,1.0010024606
2006-01-11,129.02,129.44,128.73,129.31,49598900,110.19,2006-01-11,1.003186453
2006-01-12,129.08,129.28,128.44,128.8,40509200,109.76,2006-01-12,0.9960976495
2006-01-13,128.57,128.9,128.2,128.68,44856700,109.65,2006-01-13,0.9989978134
2006-01-17,128.2,128.42,127.81,128.33,52066600,109.36,2006-01-17,0.9973552212
2006-01-18,127.58,128.9,127.16,127.82,75067600,108.92,2006-01-18,0.9959765911
2006-01-19,128.13,128.77,127.81,128.31,81530400,109.34,2006-01-19,1.0038560411
2006-01-20,128.28,128.31,125.97,125.97,114957800,107.35,2006-01-20,0.9817998903
2006-01-23,126.21,126.82,126.13,126.42,67017400,107.73,2006-01-23,1.003539823
2006-01-24,126.63,127.15,126.42,126.55,53008800,107.84,2006-01-24,1.0010210712
2006-01-25,127.04,127.18,125.84,126.66,87747700,107.93,2006-01-25,1.0008345697
2006-01-26,127.25,127.67,126.76,127.36,71294000,108.53,2006-01-26,1.0055591587
2006-01-27,127.66,128.66,127.45,128.54,65771200,109.54,2006-01-27,1.0093061826
2006-01-30,128.44,128.81,128.35,128.44,33709600,109.45,2006-01-30,0.9991783823
2006-01-31,128.32,128.54,127.49,127.5,72937000,108.65,2006-01-31,0.9926907264
2006-02-01,127.82,128.43,127.72,128.39,63561000,109.41,2006-02-01,1.0069949379
2006-02-02,128.1,128.14,126.8,126.9,83626900,108.14,2006-02-02,0.9883922859
2006-02-03,126.58,128.39,126.14,126.27,86040400,107.6,2006-02-03,0.9950064731
2006-02-06,126.44,126.8,126.17,126.6,45511900,107.88,2006-02-06,1.0026022305
